,speaker,time,text,debate
39,Moderator,00:10:06,"Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead.",1
40,Joe Biden,00:10:11,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-",1
41,Donald Trump,00:10:25,You don’t know what’s on the ballot. Why is it on the ballot? Why is it on the ballot? It’s not on the ballot.,1
42,Joe Biden,00:10:31,It’s on the ballot in the court.,1
43,Donald Trump,00:10:32,I don’t think so.,1
44,Joe Biden,00:10:33,In the court.,1
45,Donald Trump,00:10:34,There’s nothing happening there.,1
46,Joe Biden,00:10:35,Donald would you just be quiet for a minute.,1
47,Donald Trump,00:10:36,You don’t know her view on Roe V. Wade? You don’t know here view.,1
48,Moderator,00:10:40,"Well, all right. All right. Let’s talk. We’ve got a lot to unpack here, gentlemen. We’ve got a lot of time. On healthcare, and then we’ll come back to Roe V. Wade.",1
49,Joe Biden,00:10:51,All right.,1
50,Moderator,00:10:51,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare.",1
51,Donald Trump,00:11:05,That’s right.,1
52,Moderator,00:11:05,You have spent the last week-,1
53,Donald Trump,00:11:07,Because they want to give good healthcare.,1
54,Moderator,00:11:08,"If I may ask my question, sir.",1
55,Joe Biden,00:11:11,Good healthcare.,1
56,Moderator,00:11:11,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare.",1
57,Donald Trump,00:11:25,"Yes, I have. Of course, I have. The individual mandate.",1
58,Moderator,00:11:26,[crosstalk 00:11:26] when I finish I’m going to give an opportunity-,1
59,Donald Trump,00:11:28,"Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare.",1
60,Moderator,00:11:31,That’s not a comprehensive place.,1
61,Donald Trump,00:11:32,That is absolutely a big thing. That was the worst part of Obamacare.,1
62,Moderator,00:11:35,"I didn’t ask, sir.",1
63,Donald Trump,00:11:36,"Chris, that was the worst part of Obamacare.",1
64,Moderator,00:11:38,You’re debating him not me. Let me ask my question.,1
65,Donald Trump,00:11:38,"Well, I’ll ask Joe. The individual mandate was the most unpopular aspect of Obamacare.",1
66,Moderator,00:11:44,Mr. President.,1
67,Donald Trump,00:11:44,I got rid of it. And we will protect people.,1
68,Moderator,00:11:46,"Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer.",1
69,Donald Trump,00:11:52,Go ahead.,1
70,Moderator,00:11:53,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?",1
71,Donald Trump,00:12:16,"Well, first of all, I guess I’m debating you, not him, but that’s okay. I’m not surprised. Let me just tell you something. There’s nothing symbolic. I’m cutting drug prices. I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn’t do it. Nobody’s done it. So we’re cutting healthcare.",1
72,Moderator,00:12:40,What about pre-existing conditions?,1
73,Donald Trump,00:12:40,All of the things that we’ve done.,1
74,Joe Biden,00:12:41,He has not done healthcare.,1
75,Donald Trump,00:12:42,"I’ll give you an example. Insulin, it was destroying families, destroying people, the cost. I’m getting it for so cheap it’s like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we’re doing. Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.",1
76,Moderator,00:13:03,"Okay, like I say, this is open discussion.",1
77,Donald Trump,00:13:04,This is big stuff.,1
78,Moderator,00:13:06,"Sir, you’ll be happy. I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare.",1
79,Joe Biden,00:13:17,Yes.,1
80,Moderator,00:13:17,And the argument that he makes and other Republicans make is that that is going to end private insurance.,1
81,Joe Biden,00:13:23,It is not.,1
82,Moderator,00:13:25,If I start asking the question.,1
83,Donald Trump,00:13:26,"That’s not what your party says, by the way.",1
84,Moderator,00:13:29,And it will end private insurance and create a government takeover of health.,1
85,Joe Biden,00:13:32,"It does not. It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicare, excuse me, Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two.",1
86,Donald Trump,00:13:57,"Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it. And that gives you socialized medicine.",1
87,Joe Biden,00:14:04,"Look, hey.",1
88,Donald Trump,00:14:05,Are you saying you didn’t agree?,1
89,Joe Biden,00:14:06,I’m not going to listen to him. The fact of the matter is I beat Bernie Sanders.,1
90,Donald Trump,00:14:10,Not by much.,1
91,Joe Biden,00:14:10,I beat him by a whole hell of a lot.,1
92,Donald Trump,00:14:12,Not by much.,1
93,Joe Biden,00:14:12,"I’m here standing facing you, old buddy.",1
94,Donald Trump,00:14:14,If Pocahontas would have left two days early you would have lost every primary.,1
95,Joe Biden,00:14:17,All he knows how to do-,1
96,Donald Trump,00:14:18,"On Super Tuesday, you got very lucky.",1
97,Joe Biden,00:14:21,Look he’s the deal. I got very lucky. I’m going to get very lucky tonight as well.,1
98,Donald Trump,00:14:23,With what?,1
99,Joe Biden,00:14:23,And tonight I’m going to make sure.,1
100,Donald Trump,00:14:25,With what?,1
101,Joe Biden,00:14:25,"Because here’s the deal, here’s the deal. The fact is that everything he’s saying so far is simply a lie. I’m not here to call out his lies. Everybody knows he’s a liar.",1
102,Donald Trump,00:14:34,"But you agree. Joe, you’re the liar. You graduated last in your class not first in your class.",1
103,Joe Biden,00:14:41,"God, I want to make sure-",1
104,Moderator,00:14:43,"Mr. President, can you let him finish, sir?",1
105,Joe Biden,00:14:44,"No, he doesn’t know how to do that.",1
106,Donald Trump,00:14:46,"You’d be surprised. You’d be surprised. Go ahead, Joe.",1
107,Joe Biden,00:14:47,"The wrong guy, the wrong night, at the wrong time.",1
108,Donald Trump,00:14:51,"Listen, you agreed with Bernie Sanders and the manifesto.",1
109,Joe Biden,00:14:55,"There is no manifesto, number one.",1
110,Moderator,00:14:57,"Please let him speak, Mr. President.",1
111,Joe Biden,00:14:58,Number two.,1
112,Donald Trump,00:14:58,He just lost the left.,1
113,Joe Biden,00:14:59,Number two.,1
114,Donald Trump,00:15:01,"You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine.",1
115,Moderator,00:15:13,Mr. President.,1
116,Joe Biden,00:15:14,"I’ll tell you what, he is not for any help for people needing healthcare.",1
117,Donald Trump,00:15:20,"Who is, Bernie?",1
118,Joe Biden,00:15:21,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won’t ever look you in the eye and say that’s what he wants to do. Take it away.",1
119,Donald Trump,00:15:41,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good.",1
120,Joe Biden,00:15:45,He doesn’t know how. He doesn’t know how to do that.,1
121,Donald Trump,00:15:46,I’ve already fixed it.,1
122,Joe Biden,00:15:47,He has never offered a plan.,1
123,Donald Trump,00:15:49,"We’ve already fixed it to an extent. Obamacare, as you might know but probably don’t, Obamacare is no good.",1
124,Moderator,00:15:54,"Gentlemen, you realize if you’re both speaking at the same time. Let the President. Go ahead, sir.",1
125,Donald Trump,00:15:59,"Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they’ll probably blame him, but they’ll blame me. But more importantly, I want to help people. Okay. I said, “You’ve got to run it so well.” And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it’s a disaster. It’s too expensive. Premiums are too high, that it doesn’t work. So we do want to get rid of it. Chris, we want to get rid of that and give something that’s cheaper and better.",1
126,Moderator,00:16:42,"I understand that, sir. But I have to give you roughly equal time.",1
127,Donald Trump,00:16:45,Go ahead.,1
128,Moderator,00:16:45,"Please let the Vice President talk, sir.",1
129,Donald Trump,00:16:47,Good.,1
130,Joe Biden,00:16:48,He has no plan for healthcare.,1
131,Donald Trump,00:16:50,"Of course, we do.",1
132,Moderator,00:16:52,Please.,1
133,Joe Biden,00:16:52,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn’t lowered drug costs for anybody. He’s been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn’t have a plan. And the fact is this man doesn’t know what he’s talking about. [crosstalk 00:17:14].",1
134,Moderator,00:17:13,"All right, I have one final question for you.",1
135,Joe Biden,00:17:15,Sure.,1
136,Moderator,00:17:16,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn’t brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?",1
137,Joe Biden,00:17:55,"Whatever position I take on that, that’ll become the issue. The issue is the American people should speak. You should go out and vote. You’re voting now. Vote and let your Senators know strongly how you feel.",1
138,Donald Trump,00:18:05,Are you going to pack the court?,1
139,Joe Biden,00:18:07,Vote now.,1
140,Donald Trump,00:18:08,Are you going to pack the court?,1
141,Joe Biden,00:18:09,"Make sure you, in fact, let people know, your Senators.",1
142,Donald Trump,00:18:12,He doesn’t want to answer the question.,1
143,Joe Biden,00:18:17,I’m not going to answer the question.,1
144,Donald Trump,00:18:18,Why wouldn’t you answer that question? You want to put a lot of new Supreme Court Justices. Radical left.,1
145,Joe Biden,00:18:18,"Will you shut up, man?",1
146,Donald Trump,00:18:20,"Listen, who is on your list, Joe? Who’s on your list?",1
147,Moderator,00:18:23,"Gentlemen, I think we’ve ended this-",1
148,Joe Biden,00:18:25,This is so un-Presidential.,1
149,Donald Trump,00:18:25,He’s going to pack the court. He is not going to give a list.,1
150,Moderator,00:18:27,We have ended the segment. We’re going to move on to the second segment.,1
151,Joe Biden,00:18:30,"That was really a productive segment, wasn’t it? Keep yapping, man.",1
152,Donald Trump,00:18:35,"The people understand, Joe.",1
153,Joe Biden,00:18:37,They sure do.,1
154,Donald Trump,00:18:37,"47 years, you’ve done nothing. They’re understand.",1
155,Moderator,00:18:40,"All right, the second subject is COVID-19, which is an awfully serious subject. So let’s try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted.",1
156,Joe Biden,00:19:33,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world’s population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, “It is what it is.” Well, it is what it is because you are who you are. That’s why it is. The President has no plan. He hasn’t laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He’s on tape as acknowledging he knew it. He said he didn’t tell us or give people a warning of it because he didn’t want to panic the American people. You don’t panic. He panicked. In addition to that, what did he do?",1
157,Joe Biden,00:20:30,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.,1
158,Donald Trump,00:20:43,Wrong.,1
159,Joe Biden,00:20:43,He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn’t have a plan.,1
160,Donald Trump,00:20:57,Wrong.,1
161,Moderator,00:20:57,"Sir, it’s his two minutes.",1
162,Donald Trump,00:20:57,It’s so wrong.,1
163,Joe Biden,00:20:57,"I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives.",1
164,Donald Trump,00:21:30,"So, if we would have listened to you.",1
165,Moderator,00:21:31,"Wait, wait. You have two minutes, sir.",1
166,Donald Trump,00:21:31,"If we would’ve listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It’s China’s fault. It should have never happened. They stopped it from going in, but it was China’s fault. And, by the way, when you talk about numbers, you don’t know how many people died in China. You don’t know how many people died in Russia. You don’t know how many people died in India. They don’t exactly give you a straight count, just so you understand. But if you look at what we’ve done, I closed it and you said, “He’s xenophobic. He’s a racist and he’s xenophobic,” because you didn’t think I should have closed our country. Wait a minute.",1
167,Moderator,00:22:06,"Sir, it’s his two minutes.",1
168,Donald Trump,00:22:07,"You didn’t think we should have closed our country because you thought it was terrible. You wouldn’t have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, “President Trump saved thousands of lives.” Many of your Democrat Governors said, “President Trump did a phenomenal job.” We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, “President Trump did a phenomenal job.” We did. We got the gowns. We got the masks. We made the ventilators. You wouldn’t have made ventilators. And now we’re weeks away from a vaccine. We’re doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We’ve done a great job.",1
169,Donald Trump,00:22:54,"The only thing I haven’t done a good job, and that’s because of the fake news, no matter what you say to them, they give you a bad press on it. It’s just fake news. They give you good press, they give me bad press because that’s the way it is, unfortunately. But let me just say something. I don’t care. I’ve gotten used to it. But I’ll tell you, Joe, you could never have done the job that we did. You don’t have it in your blood. You could’ve never done that, Joe.",1
170,Joe Biden,00:23:15,I know how to do the job. I know how to get the job done.,1
171,Donald Trump,00:23:18,"Well, you didn’t do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster.",1
172,Joe Biden,00:23:25,"14,000 people died, not 200,000.",1
173,Donald Trump,00:23:27,"A far less lethal disease, by the way.",1
174,Moderator,00:23:32,"Sir, you made a point. Let him answer it.",1
175,Joe Biden,00:23:33,"And there was no one … We didn’t shut down the economy. This is his economy he shut down. The reason it’s shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn’t even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?",1
176,Donald Trump,00:23:57,"We would have lost far more people, far more people. You would have been months late. You’re months behind me, Joe.",1
177,Joe Biden,00:24:03,"His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year. And he said, if we just wear a mask, we can save half those numbers. Just a mask. And by the way, in terms of the whole notion of a vaccine, we’re for a vaccine, but I don’t trust him at all. Nor do you. I know you don’t. What we trust is a scientist.",1
178,Donald Trump,00:24:25,"You don’t trust Johnson & Johnson, Pfizer?  Chris Wallace:
Okay, gentlemen, gentlemen. Let me move on to questions about the future because you both have touched on two of the questions I’m going to ask. Focusing on the future first, President Trump, you have repeatedly either contradicted or been at odds with some of your governments own top scientists. The week before last, the Head of the Centers for Disease Control, Dr. Redfield said it would be summer before the vaccine would become generally available to the public. You said that he was confused and mistaken. Those were your two words. But Dr. Slaoui, the head of your Operation Warp Speed, has said exactly the same thing. Are they both wrong?",1
179,Donald Trump,00:00:15,"Well, I’ve spoken to the companies and we can have it a lot sooner. It’s a very political thing because people like this would rather make it political than save lives.",1
180,Joe Biden,00:00:22,God.,1
181,Donald Trump,00:00:23,"It is a very political thing. I’ve spoken to Pfizer, I’ve spoken to all of the people that you have to speak to, Moderna, Johnson & Johnson, and others. They can go faster than that by a lot. It’s become very political because the left… Or I don’t know if I call them left, I don’t know what I call them.",1
182,Moderator,00:00:38,"So you’re suggesting that the head of your Operation Warp Speed, Dr. Slaoui-",1
183,Donald Trump,00:00:42,"I disagree with him. No, I disagree with both of them. And he didn’t say that. He said it could be there, but it could also be much sooner. I had him in my office two days ago.",1
184,Moderator,00:00:49,"He talked about the summer, sir, before it’s generally available, just like Dr. Redfield.",1
185,Donald Trump,00:00:53,Because he said it’s a possibility that we’ll have the answer before November 1st. It could also be after that.,1
186,Moderator,00:00:59,"I’m talking about when it’s generally available, not-",1
187,Donald Trump,00:01:00,"Well, we’re going to deliver it right away. We have the military all set up. Logistically, they’re all set up. We have our military that delivers soldiers and they can do 200,000 a day. They’re going to be delivering-",1
188,Joe Biden,00:01:11,This is the same man who told you-,1
189,Donald Trump,00:01:13,It’s all set up.,1
190,Joe Biden,00:01:14,"… by Easter, this would be gone away. By the warm weather, it’d be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man.",1
191,Donald Trump,00:01:24,"That was said sarcastically, and you know that. That was said sarcastically.",1
192,Joe Biden,00:01:28,"So here’s the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will.",1
193,Moderator,00:01:49,"Mr. Vice President, I want to pick up-",1
194,Donald Trump,00:01:50,You’ll have the vaccine sooner than that.,1
195,Moderator,00:01:51,"I want to pick up on this question though. You say the public can trust the scientists, but they can’t trust President Trump. In fact, you said that again tonight. Your running mate, Senator Harris, goes further, saying that public health experts quote, “Will be muzzled, will be suppressed.” Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?",1
196,Joe Biden,00:02:18,No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists.,1
197,Moderator,00:02:25,But you’re saying you can’t-,1
198,Joe Biden,00:02:26,Everybody knows-,1
199,Moderator,00:02:26,Or Senator Harris is saying you can’t trust the scientist.,1
200,Joe Biden,00:02:28,"Well, no, no. You can trust the scientist. She didn’t say that. You can trust the-",1
201,Moderator,00:02:32,"She said that public health experts quote, “Will be muzzled, will be suppressed.”",1
202,Joe Biden,00:02:36,"Yes. Well, that’s what he’s going to try to do, but there’s thousands of scientists out there, like here at this great hospital that don’t work for him. Their job doesn’t depend on him. They’re the people… And by the way-",1
203,Donald Trump,00:02:51,We spoke to the scientists that are in charge-,1
204,Joe Biden,00:02:53,By the way-,1
205,Donald Trump,00:02:53,… they will have the vaccine very soon.,1
206,Moderator,00:02:55,Let him finish.,1
207,Joe Biden,00:02:55,"Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to COVID? He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you. He’s on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-",1
208,Moderator,00:03:27,Mr. President?,1
209,Donald Trump,00:03:28,"Did you use the word smart? So you said you went to Delaware State, but you forgot the name of your college. You didn’t go to Delaware State. You graduated either the lowest or almost the lowest in your class. Don’t ever use the word smart with me. Don’t ever use that word.",1
210,Joe Biden,00:03:44,"Oh, give me a break.",1
211,Donald Trump,00:03:44,"Because you know what? There’s nothing smart about you, Joe. 47 years you’ve done nothing.",1
212,Joe Biden,00:03:49,"Well, let’s have this debate-",1
213,Donald Trump,00:03:51,"Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy of the history of our country. And by the way, now it’s being built again and it’s going up fast.",1
214,Moderator,00:04:02,"We’ll get to the economy in the next segment, sir.",1
215,Donald Trump,00:04:04,Okay. It’s going up fast. I look forward to talking about it.,1
216,Moderator,00:04:06,"Okay. When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. I want to quickly go through several of those. Reopenings. Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools. Why, sir?",1
217,Joe Biden,00:04:31,"Because he doesn’t have a plan. If I were running it, I’d know what the plan is. You’ve got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-",1
218,Donald Trump,00:04:45,Tell that to Nancy Pelosi.,1
219,Joe Biden,00:04:47,Will he just shush for a minute?,1
220,Donald Trump,00:04:49,"Tell that to Nancy Pelosi, and Schumer [crosstalk 00:04:52] Chuck.",1
221,Joe Biden,00:04:52,"Nancy Pelosi and Schumer, they have a plan. He won’t even meet with them. The Republicans won’t meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it.",1
222,Donald Trump,00:05:04,"You probably play more than I do, Joe.",1
223,Moderator,00:05:06,What about this question of reopenings and the fact-,1
224,Donald Trump,00:05:08,"Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-",1
225,Joe Biden,00:05:15,You just admitted you’d shut it down.,1
